City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,omboue,GA,77.94,overcast clouds,-1.5746,9.2618,Hotel Olako
7,kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,kutum,SD,72.45,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
9,fortuna,US,67.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
12,ponta do sol,PT,68.72,scattered clouds,32.6667,-17.1,Hotel do Campo
13,bilma,NE,78.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
20,rikitea,PF,77.04,scattered clouds,-23.1203,-134.9692,People ThankYou
22,victoria,HK,68.32,overcast clouds,22.2855,114.1577,Mini Central
24,mount isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
28,lompoc,US,78.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
32,vila velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
33,aksu,CN,67.41,light rain,41.1231,80.2644,Pudong Holiday Hotel
38,cam ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
39,half moon bay,US,73.89,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
40,baoding,CN,79.95,clear sky,38.8511,115.4903,Xiu Lan Hotel
47,marti,CU,75.22,light rain,22.9475,-80.9203,Hotel Bibanasí
48,port hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
50,annau,TM,72.77,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
53,simao,CN,67.3,overcast clouds,22.7886,100.9748,Changyu Hotel
55,kahului,US,80.83,broken clouds,20.8947,-156.47,Maui Seaside Hotel
62,arraial do cabo,BR,73.72,clear sky,-22.9661,-42.0278,Pousada Porto Praia
67,dingle,PH,84.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
68,araci,BR,71.65,overcast clouds,-11.3333,-38.9667,Pousada Posto Rodagem II
70,georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
71,bambous virieux,MU,73.65,moderate rain,-20.3428,57.7575,Casa Tia Villa
72,hami,CN,69.8,overcast clouds,42.8,93.45,Laoyutang Resort
73,lorengau,PG,84.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,carnarvon,AU,67.71,clear sky,-24.8667,113.6333,Hospitality Carnarvon
76,antsohihy,MG,66.07,clear sky,-14.8796,47.9875,Hotel de Ville
78,salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
79,pedernales,DO,80.33,overcast clouds,18.0384,-71.744,Hotel Costa Marina
85,vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
88,puerto asis,CO,73.67,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
90,atuona,PF,78.75,few clouds,-9.8,-139.0333,Villa Enata
94,bengkulu,ID,77.34,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,puerto ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,hithadhoo,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
97,mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,port moresby,PG,81.82,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
101,okato,NZ,67.51,overcast clouds,-39.2,173.8833,Stony River House
102,sao filipe,CV,75.34,overcast clouds,14.8961,-24.4956,Hotel Xaguate
103,pemba,MZ,73.22,light rain,-12.974,40.5178,Guesthouse Samotina
109,saint-philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
113,kavieng,PG,84.11,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
115,lasem,ID,81.59,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
116,paita,PE,67.15,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
118,bocaiuva,BR,71.85,broken clouds,-17.1078,-43.815,Hotel Maxim's
119,chateaubelair,VC,78.21,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
120,bhattiprolu,IN,82.56,few clouds,16.1,80.7833,Kondalu Hotel
124,sinnamary,GF,78.21,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
125,buta,CD,67.46,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
126,souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
127,galveston,US,83.17,clear sky,29.3669,-94.9669,Crystal Suites
131,gombong,ID,81.88,scattered clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
133,caravelas,BR,74.16,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
137,porto novo,BJ,80.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
138,monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
139,biak,ID,82.74,scattered clouds,-0.9131,122.8766,Penginapan Kim
142,grand gaube,MU,73.8,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
144,glendive,US,69.49,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
145,vanimo,PG,84.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
146,broome,US,68.02,few clouds,42.2506,-75.833,Chenango Valley State Park
