City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karratha,-20.7377,116.8463,73.35,42,100,3.53,AU,2022-05-11 16:40:48
1,Sainte-Marie,-20.8968,55.5496,77.16,80,75,6.91,RE,2022-05-11 16:40:48
2,Rikitea,-23.1203,-134.9692,77.54,80,13,20.24,PF,2022-05-11 16:34:18
3,Pisco,-13.7,-76.2167,66.25,77,8,8.05,PE,2022-05-11 16:32:27
4,Ushuaia,-54.8,-68.3,53.26,47,75,10.36,AR,2022-05-11 16:30:20
5,Mataura,-46.1927,168.8643,53.47,95,8,2.59,NZ,2022-05-11 16:34:23
6,Sur,22.5667,59.5289,85.73,50,6,5.7,OM,2022-05-11 16:40:50
7,Chokurdakh,70.6333,147.9167,8.26,91,81,9.26,RU,2022-05-11 16:36:23
8,Vila,42.0304,-8.1588,68.7,37,22,5.37,PT,2022-05-11 16:40:51
9,Vila Franca Do Campo,37.7167,-25.4333,62.2,78,100,9.62,PT,2022-05-11 16:40:51
10,Khatanga,71.9667,102.5,27.36,82,100,17.05,RU,2022-05-11 16:39:29
11,Sao Filipe,14.8961,-24.4956,75.27,74,58,12.41,CV,2022-05-11 16:36:26
12,Kodiak,57.79,-152.4072,45.91,36,0,18.41,US,2022-05-11 16:40:52
13,Siguiri,11.6667,-9.5,104.83,14,29,4.29,GN,2022-05-11 16:40:53
14,Jamestown,42.097,-79.2353,78.53,25,0,5.99,US,2022-05-11 16:34:28
15,Asau,46.4333,26.4,70.72,72,99,0.6,RO,2022-05-11 16:40:54
16,Qaanaaq,77.484,-69.3632,17.76,72,8,2.19,GL,2022-05-11 16:37:21
17,Bonnyville,54.2668,-110.735,54.72,53,90,10.18,CA,2022-05-11 16:40:54
18,Pacasmayo,-7.4006,-79.5714,70.59,71,12,12.17,PE,2022-05-11 16:40:55
19,Cape Town,-33.9258,18.4232,63.01,73,20,8.05,ZA,2022-05-11 16:35:40
20,Katete,-0.7818,29.7544,63.77,95,93,3.83,UG,2022-05-11 16:40:55
21,Paratinga,-12.6906,-43.1842,88.45,34,90,4.34,BR,2022-05-11 16:40:56
22,Nikolskoye,59.7035,30.7861,57.87,78,100,8.14,RU,2022-05-11 16:38:37
23,Hobart,-42.8794,147.3294,51.06,92,98,8.05,AU,2022-05-11 16:31:22
24,Poum,-20.2333,164.0167,75.99,63,90,22.12,NC,2022-05-11 16:40:57
25,Busselton,-33.65,115.3333,62.02,85,100,17.25,AU,2022-05-11 16:34:25
26,Saint-Philippe,-21.3585,55.7679,76.59,81,39,3.04,RE,2022-05-11 16:40:58
27,Ribeira Grande,38.5167,-28.7,64.8,55,20,18.41,PT,2022-05-11 16:37:30
28,Nishihara,26.1842,127.7558,75.25,97,40,3.44,JP,2022-05-11 16:40:59
29,Sitka,57.0531,-135.33,42.69,75,40,4.61,US,2022-05-11 16:41:00
30,Sangar,63.9242,127.4739,30.49,96,100,6.24,RU,2022-05-11 16:36:52
31,Port Alfred,-33.5906,26.891,62.19,80,4,4.0,ZA,2022-05-11 16:34:32
32,Luderitz,-26.6481,15.1594,59.27,72,0,12.28,NA,2022-05-11 16:41:01
33,Frontera,26.9333,-101.45,83.32,74,40,4.0,MX,2022-05-11 16:41:02
34,Fort Abbas,29.1925,72.8536,100.42,9,1,10.85,PK,2022-05-11 16:41:02
35,Laguna,38.421,-121.4238,59.14,57,0,8.05,US,2022-05-11 16:41:03
36,Veraval,20.9,70.3667,84.33,81,18,14.67,IN,2022-05-11 16:41:03
37,Saint-Pierre,-21.3393,55.4781,78.48,69,0,5.75,RE,2022-05-11 16:39:26
38,Belaya Gora,68.5333,146.4167,10.69,95,28,8.23,RU,2022-05-11 16:41:04
39,East London,-33.0153,27.9116,63.54,77,0,11.5,ZA,2022-05-11 16:34:47
40,Pevek,69.7008,170.3133,19.24,92,100,2.46,RU,2022-05-11 16:35:04
41,Dikson,73.5069,80.5464,19.17,88,99,11.32,RU,2022-05-11 16:30:32
