City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,0,omboue,GA,-1.5746,9.2618,77.94,93,100,5.97,overcast clouds
7,7,kapaa,US,22.0752,-159.319,82.38,76,0,9.22,clear sky
8,8,kutum,SD,14.2,24.6667,72.45,54,98,13.62,overcast clouds
9,9,fortuna,US,40.5982,-124.1573,67.93,67,20,11.5,few clouds
12,12,ponta do sol,PT,32.6667,-17.1,68.72,84,36,6.38,scattered clouds
13,13,bilma,NE,18.6853,12.9164,78.71,19,0,12.44,clear sky
20,20,rikitea,PF,-23.1203,-134.9692,77.04,71,27,18.68,scattered clouds
22,22,victoria,HK,22.2855,114.1577,68.32,90,100,8.01,overcast clouds
24,24,mount isa,AU,-20.7333,139.5,78.57,44,0,14.97,clear sky
28,28,lompoc,US,34.6391,-120.4579,78.57,87,100,13.8,overcast clouds
32,32,vila velha,BR,-20.3297,-40.2925,75.15,69,75,9.22,broken clouds
33,33,aksu,CN,41.1231,80.2644,67.41,40,100,2.21,light rain
38,38,cam ranh,VN,11.9214,109.1591,82.36,78,40,3.44,scattered clouds
39,39,half moon bay,US,37.4636,-122.4286,73.89,71,100,29.93,mist
40,40,baoding,CN,38.8511,115.4903,79.95,12,0,6.76,clear sky
42,42,albany,US,42.6001,-73.9662,68.4,93,100,4.09,overcast clouds
47,47,marti,CU,22.9475,-80.9203,75.22,85,41,2.59,light rain
48,48,port hedland,AU,-20.3167,118.5667,80.65,26,4,14.97,clear sky
50,50,annau,TM,37.8876,58.516,72.77,31,7,2.71,clear sky
53,53,simao,CN,22.7886,100.9748,67.3,86,100,1.03,overcast clouds
55,55,kahului,US,20.8947,-156.47,80.83,74,65,11.99,broken clouds
62,62,arraial do cabo,BR,-22.9661,-42.0278,73.72,84,8,19.37,clear sky
67,67,dingle,PH,10.9995,122.6711,84.52,69,99,1.77,overcast clouds
68,68,araci,BR,-11.3333,-38.9667,71.65,89,100,5.5,overcast clouds
70,70,georgetown,MY,5.4112,100.3354,80.53,83,20,4.61,few clouds
71,71,bambous virieux,MU,-20.3428,57.7575,73.65,88,40,6.91,moderate rain
72,72,hami,CN,42.8,93.45,69.8,6,98,11.79,overcast clouds
73,73,lorengau,PG,-2.0226,147.2712,84.6,62,100,4.43,overcast clouds
74,74,poum,NC,-20.2333,164.0167,78.31,73,79,19.73,broken clouds
75,75,carnarvon,AU,-24.8667,113.6333,67.71,36,0,9.35,clear sky
76,76,antsohihy,MG,-14.8796,47.9875,66.07,78,1,5.53,clear sky
78,78,salalah,OM,17.0151,54.0924,82.49,51,7,6.91,clear sky
79,79,pedernales,DO,18.0384,-71.744,80.33,75,100,9.24,overcast clouds
85,85,vaini,TO,-21.2,-175.2,77.16,73,40,6.91,scattered clouds
88,88,puerto asis,CO,0.5133,-76.5007,73.67,99,91,1.3,overcast clouds
89,89,bonfim,BR,3.0833,-59.95,78.48,78,98,3.58,overcast clouds
90,90,atuona,PF,-9.8,-139.0333,78.75,71,11,15.59,few clouds
94,94,bengkulu,ID,-3.8004,102.2655,77.34,91,82,3.67,broken clouds
95,95,puerto ayora,EC,-0.7393,-90.3518,72.55,96,84,1.99,broken clouds
96,96,hithadhoo,MV,-0.6,73.0833,82.8,76,100,11.88,overcast clouds
97,97,mahebourg,MU,-20.4081,57.7,73.69,88,40,6.91,scattered clouds
100,100,port moresby,PG,-9.4431,147.1797,81.82,72,37,5.01,scattered clouds
101,101,okato,NZ,-39.2,173.8833,67.51,92,99,10.92,overcast clouds
102,102,sao filipe,CV,14.8961,-24.4956,75.34,75,100,8.12,overcast clouds
103,103,pemba,MZ,-12.974,40.5178,73.22,81,45,12.8,light rain
109,109,saint-philippe,RE,-21.3585,55.7679,67.59,87,78,11.16,light rain
113,113,kavieng,PG,-2.5744,150.7967,84.11,65,100,1.99,overcast clouds
115,115,lasem,ID,-6.6922,111.4527,81.59,80,100,6.26,overcast clouds
116,116,paita,PE,-5.0892,-81.1144,67.15,79,68,15.9,broken clouds
118,118,bocaiuva,BR,-17.1078,-43.815,71.85,59,76,1.45,broken clouds
119,119,chateaubelair,VC,13.2833,-61.25,78.21,83,26,14.27,scattered clouds
120,120,bhattiprolu,IN,16.1,80.7833,82.56,77,14,4.94,few clouds
124,124,sinnamary,GF,5.3833,-52.95,78.21,92,100,9.53,moderate rain
125,125,buta,CD,2.7858,24.73,67.46,98,100,1.21,overcast clouds
126,126,souillac,MU,-20.5167,57.5167,73.78,88,40,6.91,light rain
127,127,galveston,US,29.3669,-94.9669,83.17,77,0,13.8,clear sky
131,131,gombong,ID,-7.6072,109.5142,81.88,82,35,1.1,scattered clouds
133,133,caravelas,BR,-17.7125,-39.2481,74.16,76,100,5.28,overcast clouds
137,137,porto novo,BJ,6.4965,2.6036,80.02,86,100,4.63,overcast clouds
138,138,monrovia,LR,6.3005,-10.7969,78.57,86,100,9.82,overcast clouds
139,139,biak,ID,-0.9131,122.8766,82.74,73,38,1.66,scattered clouds
142,142,grand gaube,MU,-20.0064,57.6608,73.8,89,34,3.0,moderate rain
144,144,glendive,US,47.1053,-104.7125,69.49,32,0,9.22,clear sky
145,145,vanimo,PG,-2.6741,141.3028,84.4,67,92,5.39,overcast clouds
146,146,broome,US,42.2506,-75.833,68.02,86,20,4.61,few clouds
148,148,tabou,CI,4.423,-7.3528,78.64,88,100,6.8,light rain
150,150,qarqin,AF,37.4185,66.0436,73.74,32,0,0.54,clear sky
156,156,rurrenabaque,BO,-14.4413,-67.5278,68.81,95,100,2.39,overcast clouds
157,157,acapulco,MX,16.8634,-99.8901,84.02,65,40,10.36,scattered clouds
158,158,bathsheba,BB,13.2167,-59.5167,79.36,85,29,19.44,scattered clouds
160,160,butaritari,KI,3.0707,172.7902,82.04,73,40,10.98,scattered clouds
174,174,prado,BR,-17.3411,-39.2208,75.18,75,99,6.44,overcast clouds
176,176,avarua,CK,-21.2078,-159.775,78.85,65,75,3.44,broken clouds
177,177,noumea,NC,-22.2763,166.4572,79.0,99,35,12.03,scattered clouds
179,179,ahipara,NZ,-35.1667,173.1667,68.4,77,2,12.3,clear sky
181,181,beloha,MG,-25.1667,45.05,66.63,86,0,11.23,clear sky
185,185,ewo,CG,-0.8725,14.8206,75.0,88,82,0.63,light rain
188,188,birao,CF,10.2849,22.7882,79.12,59,93,0.63,overcast clouds
189,189,ixtapa,MX,20.7,-105.2,80.22,69,20,8.05,few clouds
191,191,benghazi,LY,32.1167,20.0667,67.66,53,0,4.25,clear sky
193,193,anajatuba,BR,-3.2644,-44.6197,74.64,96,100,2.28,heavy intensity rain
195,195,beira,MZ,-19.8436,34.8389,77.09,73,40,9.22,scattered clouds
196,196,vilhena,BR,-12.7406,-60.1458,72.52,80,20,3.56,few clouds
199,199,vao,NC,-22.6667,167.4833,73.89,74,55,17.27,broken clouds
201,201,nassau,US,40.7507,-73.5829,70.09,79,0,9.22,clear sky
202,202,marsh harbour,BS,26.5412,-77.0636,78.26,82,67,10.89,broken clouds
206,206,cassilandia,BR,-19.1133,-51.7342,67.17,97,95,2.57,overcast clouds
211,211,bowen,AU,-20.0167,148.2333,79.2,65,0,2.57,clear sky
212,212,vangaindrano,MG,-23.35,47.6,66.7,89,85,2.48,moderate rain
214,214,bethel,US,41.3712,-73.414,68.32,84,67,4.97,broken clouds
217,217,hambantota,LK,6.1241,81.1185,79.14,100,75,6.91,broken clouds
218,218,pangal,IN,16.2761,78.1189,84.06,61,100,7.16,overcast clouds
220,220,inhambane,MZ,-23.865,35.3833,70.18,80,73,9.42,light rain
221,221,meulaboh,ID,4.1363,96.1285,77.68,88,100,3.91,overcast clouds
222,222,damaturu,NG,11.747,11.9608,84.96,23,29,5.19,scattered clouds
223,223,waiuku,NZ,-37.25,174.75,69.26,88,100,10.8,overcast clouds
225,225,ambilobe,MG,-13.2,49.05,68.04,87,6,2.95,clear sky
227,227,north branch,US,45.5113,-92.9802,70.09,72,7,7.61,clear sky
229,229,obo,CF,5.3998,26.4869,68.05,98,100,1.28,overcast clouds
231,231,airai,TL,-8.9266,125.4092,70.63,63,1,2.28,clear sky
233,233,mayumba,GA,-3.432,10.6554,76.95,93,80,4.23,broken clouds
234,234,hervey bay,AU,-25.2986,152.8535,80.02,85,0,3.0,clear sky
236,236,port-gentil,GA,-0.7193,8.7815,80.2,87,100,11.27,light rain
238,238,garmsar,IR,35.2182,52.3409,72.68,19,0,4.07,clear sky
239,239,yen bai,VN,21.7,104.8667,69.49,93,100,0.47,overcast clouds
241,241,columbia,US,34.0007,-81.0348,79.48,70,0,1.01,clear sky
242,242,sambava,MG,-14.2667,50.1667,70.81,79,1,9.04,clear sky
243,243,saint-joseph,RE,-21.3667,55.6167,66.58,83,50,11.5,light rain
247,247,avera,US,33.194,-82.5271,78.31,74,94,5.91,overcast clouds
249,249,roebourne,AU,-20.7833,117.1333,77.94,29,0,17.27,clear sky
251,251,eureka,US,40.8021,-124.1637,71.74,71,0,8.99,clear sky
254,254,luderitz,,-26.6481,15.1594,71.6,27,44,7.18,scattered clouds
255,255,durango,MX,24.8333,-104.8333,81.64,13,32,16.69,scattered clouds
257,257,charters towers,AU,-20.1,146.2667,77.95,51,0,4.25,clear sky
260,260,the valley,AI,18.217,-63.0578,78.66,77,46,22.24,scattered clouds
262,262,stabat,ID,3.761,98.4513,79.0,98,100,1.7,moderate rain
270,270,koumac,NC,-20.5667,164.2833,81.25,60,55,5.86,broken clouds
272,272,san juan nepomuceno,CO,9.9516,-75.082,77.58,92,100,4.38,overcast clouds
273,273,san ramon,US,37.7799,-121.978,77.58,65,0,12.66,clear sky
276,276,san quintin,MX,30.4833,-115.95,65.44,74,0,13.02,clear sky
279,279,mahajanga,MG,-15.7167,46.3167,69.82,78,20,5.75,few clouds
281,281,manzanillo,CU,20.3433,-77.1167,74.52,88,87,10.04,light rain
288,288,rumonge,BI,-3.9736,29.4386,70.14,86,93,5.5,light rain
289,289,sola,VU,-13.8833,167.55,80.74,71,100,15.79,overcast clouds
293,293,north bend,US,43.4065,-124.2243,70.25,86,100,17.27,overcast clouds
294,294,yaring,TH,6.8662,101.3689,82.29,81,100,7.4,overcast clouds
297,297,bang saphan,TH,11.2126,99.5117,82.69,80,100,5.41,overcast clouds
298,298,vila franca do campo,PT,37.7167,-25.4333,65.19,87,61,30.51,broken clouds
299,299,namatanai,PG,-3.6667,152.4333,84.87,62,100,2.19,overcast clouds
301,301,mabaruma,GY,8.2,-59.7833,75.47,96,97,2.95,overcast clouds
304,304,jalu,LY,29.0331,21.5482,70.92,34,0,9.71,clear sky
305,305,maneadero,MX,31.7167,-116.5667,65.1,76,20,3.0,few clouds
307,307,rio pomba,BR,-21.2747,-43.1792,67.75,92,8,4.0,clear sky
311,311,salinopolis,BR,-0.6136,-47.3561,79.07,88,100,10.6,overcast clouds
314,314,keti bandar,PK,24.1447,67.4497,81.86,82,0,19.66,clear sky
320,320,dondo,MZ,-19.6094,34.7431,76.51,86,74,7.09,light rain
321,321,carroll,US,39.5501,-77.0164,68.23,86,50,1.01,scattered clouds
322,322,olinda,BR,-8.0089,-34.8553,78.53,89,75,2.3,broken clouds
325,325,muisne,EC,0.6,-80.0333,78.26,88,100,10.67,light rain
326,326,voh,NC,-20.9667,164.7,83.32,54,90,6.78,overcast clouds
328,328,hamilton,US,39.1834,-84.5333,74.84,61,53,1.59,broken clouds
